Using request distribution 'zipfian' a keyrange of [0 500000]
***************** properties *****************
"workload"="core"
"scanproportion"="0"
"readallfields"="true"
"readproportion"="0.95"
"operationcount"="500000"
"etcd.endpoints"="127.0.0.1:50051"
"insertproportion"="0"
"recordcount"="500000"
"threadcount"="8"
"updateproportion"="0.05"
"measurementtype"="histogram"
"dotransactions"="true"
"requestdistribution"="zipfian"
"etcd.dial_timeout"="2s"
"command"="run"
**********************************************
READ   - Takes(s): 10.0, Count: 13490, OPS: 1349.9, Avg(us): 5581, Min(us): 2738, Max(us): 48543, 50th(us): 5327, 90th(us): 7247, 95th(us): 8023, 99th(us): 9943, 99.9th(us): 24431, 99.99th(us): 48479
TOTAL  - Takes(s): 10.0, Count: 14199, OPS: 1420.9, Avg(us): 5623, Min(us): 2738, Max(us): 48575, 50th(us): 5371, 90th(us): 7271, 95th(us): 8047, 99th(us): 10039, 99.9th(us): 27375, 99.99th(us): 48543
UPDATE - Takes(s): 10.0, Count: 709, OPS: 71.0, Avg(us): 6437, Min(us): 3894, Max(us): 48575, 50th(us): 5939, 90th(us): 7603, 95th(us): 8495, 99th(us): 11423, 99.9th(us): 47967, 99.99th(us): 48575
READ   - Takes(s): 20.0, Count: 27035, OPS: 1352.2, Avg(us): 5571, Min(us): 2550, Max(us): 75327, 50th(us): 5291, 90th(us): 7247, 95th(us): 8019, 99th(us): 9887, 99.9th(us): 24463, 99.99th(us): 74495
TOTAL  - Takes(s): 20.0, Count: 28462, OPS: 1423.6, Avg(us): 5611, Min(us): 2550, Max(us): 75327, 50th(us): 5331, 90th(us): 7267, 95th(us): 8035, 99th(us): 9927, 99.9th(us): 27631, 99.99th(us): 74815
UPDATE - Takes(s): 20.0, Count: 1427, OPS: 71.4, Avg(us): 6358, Min(us): 3776, Max(us): 75263, 50th(us): 5879, 90th(us): 7515, 95th(us): 8439, 99th(us): 10655, 99.9th(us): 73407, 99.99th(us): 75263
READ   - Takes(s): 30.0, Count: 40479, OPS: 1349.6, Avg(us): 5582, Min(us): 2384, Max(us): 75327, 50th(us): 5295, 90th(us): 7271, 95th(us): 8047, 99th(us): 9943, 99.9th(us): 27647, 99.99th(us): 74047
TOTAL  - Takes(s): 30.0, Count: 42634, OPS: 1421.5, Avg(us): 5619, Min(us): 2384, Max(us): 75327, 50th(us): 5335, 90th(us): 7291, 95th(us): 8059, 99th(us): 9991, 99.9th(us): 32767, 99.99th(us): 74495
UPDATE - Takes(s): 30.0, Count: 2155, OPS: 71.9, Avg(us): 6317, Min(us): 3560, Max(us): 75263, 50th(us): 5887, 90th(us): 7487, 95th(us): 8367, 99th(us): 11383, 99.9th(us): 70207, 99.99th(us): 75263
READ   - Takes(s): 40.0, Count: 53557, OPS: 1339.2, Avg(us): 5626, Min(us): 2384, Max(us): 75327, 50th(us): 5351, 90th(us): 7335, 95th(us): 8083, 99th(us): 9943, 99.9th(us): 25871, 99.99th(us): 74047
TOTAL  - Takes(s): 40.0, Count: 56428, OPS: 1411.0, Avg(us): 5661, Min(us): 2384, Max(us): 75327, 50th(us): 5391, 90th(us): 7351, 95th(us): 8095, 99th(us): 9983, 99.9th(us): 27551, 99.99th(us): 74047
